Batch 1 predictions: ['javelin throw', 'singing', 'assembling computer', 'ironing', 'hurdling', 'country line dancing', 'hugging baby', 'filling eyebrows', 'grinding meat', 'eating doughnuts', 'snatch weight lifting', 'washing dishes', 'applying cream', 'training dog', 'skydiving', 'grinding meat', 'krumping', 'smoking hookah', 'tobogganing', 'playing guitar', 'catching fish', 'riding a bike', 'cartwheeling', 'waking up', 'catching or throwing softball', 'spinning poi', 'carving pumpkin', 'carving pumpkin', 'throwing discus', 'water skiing', 'ice climbing', 'cooking chicken', 'playing basketball', 'bowling', 'mopping floor', 'playing guitar', 'playing harmonica', 'juggling soccer ball', 'high kick', 'busking', 'playing xylophone', 'welding', 'changing oil', 'opening present', 'eating cake', 'paragliding', 'riding mechanical bull', 'cooking egg', 'bending back', 'grinding meat', 'laughing', 'wrestling', 'planting trees', 'shot put', 'unloading truck', 'hopscotch', 'laying bricks', 'throwing ball (not baseball or American football)', 'playing saxophone', 'hugging (not baby)', 'smoking', 'spraying', 'presenting weather forecast', 'disc golfing']
Batch 1 soft predictions: ['javelin throw', 'singing', 'assembling computer', 'ironing', 'hurdling', 'country line dancing', 'hugging baby', 'filling eyebrows', 'grinding meat', 'eating doughnuts', 'snatch weight lifting', 'washing dishes', 'applying cream', 'training dog', 'skydiving', 'grinding meat', 'krumping', 'smoking hookah', 'tobogganing', 'playing guitar', 'catching fish', 'riding a bike', 'cartwheeling', 'waking up', 'catching or throwing softball', 'spinning poi', 'carving pumpkin', 'carving pumpkin', 'throwing discus', 'water skiing', 'ice climbing', 'cooking chicken', 'playing basketball', 'bowling', 'mopping floor', 'playing guitar', 'playing harmonica', 'juggling soccer ball', 'high kick', 'busking', 'playing xylophone', 'welding', 'changing oil', 'opening present', 'eating cake', 'paragliding', 'riding mechanical bull', 'cooking egg', 'bending back', 'grinding meat', 'laughing', 'wrestling', 'planting trees', 'shot put', 'unloading truck', 'hopscotch', 'laying bricks', 'throwing ball (not baseball or American football)', 'playing saxophone', 'hugging (not baby)', 'smoking', 'spraying', 'presenting weather forecast', 'disc golfing']
Batch 1 true labels: ['javelin throw', 'using megaphone', 'assembling computer', 'ironing', 'hurdling', 'country line dancing', 'waiting in line', 'filling eyebrows', 'grinding meat', 'eating doughnuts', 'snatch weight lifting', 'washing dishes', 'doing nails', 'walking the dog', 'skydiving', 'grinding meat', 'krumping', 'smoking hookah', 'tobogganing', 'playing guitar', 'catching fish', 'riding a bike', 'cartwheeling', 'somersaulting', 'catching or throwing softball', 'spinning poi', 'carving pumpkin', 'carving pumpkin', 'throwing discus', 'water skiing', 'ice climbing', 'cooking chicken', 'shooting basketball', 'bowling', 'mopping floor', 'playing piano', 'eating hotdog', 'juggling soccer ball', 'catching or throwing baseball', 'busking', 'playing xylophone', 'spraying', 'changing oil', 'opening present', 'eating cake', 'paragliding', 'riding mechanical bull', 'cooking egg', 'bending back', 'grinding meat', 'eating chips', 'faceplanting', 'planting trees', 'stretching arm', 'unloading truck', 'hopscotch', 'laying bricks', 'tai chi', 'playing saxophone', 'egg hunting', 'shaking hands', 'blasting sand', 'presenting weather forecast', 'disc golfing']
Batch 1 top 5 predictions:
['javelin throw', 'shot put', 'throwing discus', 'hammer throw', 'high jump']
['busking', 'hopscotch', 'waiting in line', 'breakdancing', 'tap dancing']
['playing xylophone', 'playing drums', 'air drumming', 'playing cymbals', 'playing clarinet']
['welding', 'blowing glass', 'blasting sand', 'bending metal', 'sharpening knives']
['changing oil', 'changing wheel (not on bike)', 'checking tires', 'welding', 'bending metal']
['opening present', 'wrapping present', 'blowing out candles', 'egg hunting', 'folding clothes']
['eating cake', 'eating ice cream', 'blowing out candles', 'eating doughnuts', 'celebrating']
['paragliding', 'parasailing', 'skydiving', 'kitesurfing', 'sailing']
['riding mechanical bull', 'auctioning', 'country line dancing', 'swing dancing', 'drop kicking']
['cooking egg', 'scrambling eggs', 'frying vegetables', 'cooking sausages (not on barbeque)', 'flipping pancake']
['bending back', 'somersaulting', 'cartwheeling', 'yoga', 'singing']
['grinding meat', 'barbequing', 'spraying', 'cooking chicken', 'spray painting']
['laughing', 'eating chips', 'shaking head', 'ripping paper', 'tasting food']
['wrestling', 'somersaulting', 'drop kicking', 'headbutting', 'faceplanting']
['planting trees', 'digging', 'watering plants', 'spraying', 'wading through mud']
['shot put', 'throwing discus', 'hammer throw', 'throwing ball (not baseball or American football)', 'disc golfing']
['unloading truck', 'welding', 'blasting sand', 'archery', 'sanding floor']
['hopscotch', 'walking the dog', 'skipping rope', 'jogging', 'hugging (not baby)']
['laying bricks', 'parkour', 'cleaning', 'plastering', 'skateboarding']
['throwing ball (not baseball or American football)', 'tai chi', 'kicking soccer ball', 'stretching arm', 'shot put']
['playing saxophone', 'playing trumpet', 'playing clarinet', 'playing trombone', 'playing flute']
['hugging (not baby)', 'egg hunting', 'waiting in line', 'reading book', 'giving or receiving award']
['smoking', 'feeding birds', 'finger snapping', 'rock scissors paper', 'cutting nails']
['spraying', 'blasting sand', 'spray painting', 'changing oil', 'bending metal']
['presenting weather forecast', 'news anchoring', 'sign language interpreting', 'writing', 'answering questions']
['disc golfing', 'catching or throwing frisbee', 'jogging', 'tai chi', 'flipping pancake']

Batch 2 predictions: ['walking the dog', 'listening with headphones', 'barbequing', 'shaking hands', 'slacklining', 'picking apples', 'cutting pineapple', 'clean and jerk', 'shoot dance', 'feeding goats', 'disc golfing', 'playing accordion', 'doing nails', 'chopping wood', 'trapezing', 'hula hooping', 'rock scissors paper', 'eating cake', 'catching fish', 'feeding goats', 'directing traffic', 'bookbinding', 'bee keeping', 'playing violin', 'stretching arm', 'shooting goal (soccer)', 'picking blueberries', 'diving cliff', 'making a cake', 'baby waking up', 'listening with headphones', 'folding clothes', 'headbutting', 'auctioning', 'playing drums', 'picking apples', 'using remote controller (not gaming)', 'slacklining', 'riding or walking with horse', 'wrapping present', 'playing slot machine', 'wrapping present', 'flipping bottle', 'celebrating', 'smoking hookah', 'cooking sausages (not on barbeque)', 'tango dancing', 'country line dancing', 'shuffling cards', 'juggling balls', 'bee keeping', 'presenting weather forecast', 'tying bow tie', 'air drumming', 'jetskiing', 'ice fishing', 'side kick', 'laying bricks', 'drumming fingers', 'dancing macarena', 'wading through mud', 'bartending', 'giving or receiving award', 'holding snake']
Batch 2 soft predictions: ['walking the dog', 'listening with headphones', 'barbequing', 'shaking hands', 'slacklining', 'picking apples', 'cutting pineapple', 'clean and jerk', 'shoot dance', 'feeding goats', 'disc golfing', 'playing accordion', 'doing nails', 'chopping wood', 'trapezing', 'hula hooping', 'rock scissors paper', 'eating cake', 'catching fish', 'feeding goats', 'directing traffic', 'bookbinding', 'bee keeping', 'playing violin', 'stretching arm', 'shooting goal (soccer)', 'picking blueberries', 'diving cliff', 'making a cake', 'baby waking up', 'listening with headphones', 'folding clothes', 'headbutting', 'auctioning', 'playing drums', 'picking apples', 'using remote controller (not gaming)', 'slacklining', 'riding or walking with horse', 'wrapping present', 'playing slot machine', 'wrapping present', 'flipping bottle', 'celebrating', 'smoking hookah', 'cooking sausages (not on barbeque)', 'tango dancing', 'country line dancing', 'shuffling cards', 'juggling balls', 'bee keeping', 'presenting weather forecast', 'tying bow tie', 'air drumming', 'jetskiing', 'ice fishing', 'side kick', 'laying bricks', 'drumming fingers', 'dancing macarena', 'wading through mud', 'bartending', 'giving or receiving award', 'holding snake']
Batch 2 true labels: ['jogging', 'listening with headphones', 'tasting beer', 'playing harmonica', 'slacklining', 'tasting food', 'cutting pineapple', 'snatch weight lifting', 'shoot dance', 'feeding goats', 'throwing axe', 'playing accordion', 'doing nails', 'chopping wood', 'swinging on something', 'hula hooping', 'punching bag', 'eating cake', 'catching fish', 'feeding goats', 'directing traffic', 'building lego', 'bee keeping', 'playing violin', 'stretching arm', 'kicking soccer ball', 'picking blueberries', 'diving cliff', 'making a cake', 'baby waking up', 'listening with headphones', 'drumming fingers', 'eating chips', 'auctioning', 'playing drums', 'picking apples', 'using remote controller (not gaming)', 'slacklining', 'riding or walking with horse', 'wrapping present', 'push up', 'wrapping present', 'holding snake', 'celebrating', 'smoking', 'making pizza', 'tango dancing', 'country line dancing', 'playing cards', 'juggling balls', 'bee keeping', 'presenting weather forecast', 'tying bow tie', 'air drumming', 'jetskiing', 'ice fishing', 'side kick', 'laying bricks', 'drumming fingers', 'dancing macarena', 'throwing axe', 'bartending', 'giving or receiving award', 'smoking hookah']
Batch 2 top 5 predictions:
['walking the dog', 'blowing leaves', 'playing paintball', 'jogging', 'wading through mud']
['listening with headphones', 'fixing hair', 'shoot dance', 'whistling', 'using megaphone']
['barbequing', 'dining', 'tasting beer', 'tasting food', 'cooking sausages (not on barbeque)']
['shaking hands', 'rock scissors paper', 'high fiving', 'finger snapping', 'hugging baby']
['slacklining', 'cartwheeling', 'parkour', 'high kick', 'throwing discus']
['picking apples', 'peeling apples', 'holding snake', 'barbequing', 'unloading truck']
['cutting pineapple', 'cutting watermelon', 'blending fruit', 'sharpening knives', 'milking goat']
['clean and jerk', 'snatch weight lifting', 'deadlifting', 'squat', 'bench pressing']
['shoot dance', 'dancing gangnam style', 'moving furniture', 'pumping fist', 'hugging baby']
['feeding goats', 'milking goat', 'petting animal (not cat)', 'cutting nails', 'shearing sheep']
['disc golfing', 'playing cricket', 'tai chi', 'jogging', 'catching or throwing frisbee']
['playing accordion', 'busking', 'playing saxophone', 'playing violin', 'playing trumpet']
['doing nails', 'cutting nails', 'applying cream', 'brush painting', 'making jewelry']
['chopping wood', 'throwing axe', 'trimming trees', 'planting trees', 'cooking on campfire']
['trapezing', 'swinging on something', 'climbing', 'pole vault', 'bungee jumping']
['hula hooping', 'skipping rope', 'cartwheeling', 'gymnastics tumbling', 'somersaulting']
['rock scissors paper', 'dancing gangnam style', 'slapping', 'punching person (boxing)', 'high kick']
['eating cake', 'eating ice cream', 'eating doughnuts', 'eating burger', 'tasting food']
['catching fish', 'spinning poi', 'flying kite', 'swinging on something', 'kitesurfing']
['feeding goats', 'petting animal (not cat)', 'milking goat', 'planting trees', 'picking blueberries']
['directing traffic', 'jaywalking', 'tossing coin', 'texting', 'robot dancing']
['bookbinding', 'building lego', 'folding paper', 'using remote controller (not gaming)', 'sharpening pencil']
['bee keeping', 'building shed', 'building cabinet', 'moving furniture', 'digging']
['playing violin', 'playing cello', 'playing flute', 'playing piano', 'singing']
['stretching arm', 'yoga', 'massaging', 'stretching leg', 'cracking neck']
['shooting goal (soccer)', 'kicking soccer ball', 'juggling soccer ball', 'playing badminton', 'drop kicking']
['picking blueberries', 'stomping grapes', 'picking apples', 'planting trees', 'spraying']
['diving cliff', 'parkour', 'somersaulting', 'jumping into pool', 'springboard diving']
['making a cake', 'baking cookies', 'cooking sausages (not on barbeque)', 'scrambling eggs', 'breading or breadcrumbing']
['baby waking up', 'waking up', 'sneezing', 'yawning', 'moving baby']
['listening with headphones', 'unboxing', 'using remote controller (not gaming)', 'checking watch', 'texting']
['folding clothes', 'ironing', 'sharpening knives', 'building lego', 'folding paper']
['headbutting', 'headbanging', 'slapping', 'laughing', 'drinking shots']
['auctioning', 'applauding', 'answering questions', 'using megaphone', 'sign language interpreting']
['playing drums', 'playing cymbals', 'air drumming', 'drumming fingers', 'headbanging']
['picking apples', 'picking blueberries', 'peeling apples', 'trimming trees', 'stomping grapes']
['using remote controller (not gaming)', 'adjusting glasses', 'listening with headphones', 'building lego', 'checking watch']
['slacklining', 'tai chi', 'sword fighting', 'skipping rope', 'yoga']
['riding or walking with horse', 'riding mule', 'jogging', 'riding camel', 'riding elephant']
['wrapping present', 'uncorking champagne', 'folding napkins', 'opening bottle (not wine)', 'tying knot (not on a tie)']
['playing slot machine', 'push up', 'playing poker', 'playing monopoly', 'yoga']
['wrapping present', 'opening present', 'unboxing', 'flipping bottle', 'folding clothes']
['flipping bottle', 'egg hunting', 'tossing coin', 'kicking soccer ball', 'blowing nose']
['celebrating', 'applauding', 'surfing crowd', 'pumping fist', 'auctioning']
['smoking hookah', 'spraying', 'spray painting', 'opening bottle (not wine)', 'smoking']
['cooking sausages (not on barbeque)', 'making pizza', 'cooking on campfire', 'barbequing', 'making a sandwich']
['tango dancing', 'dancing macarena', 'dancing charleston', 'swing dancing', 'dancing gangnam style']
['country line dancing', 'dancing charleston', 'swing dancing', 'tap dancing', 'salsa dancing']
['shuffling cards', 'playing poker', 'playing cards', 'building lego', 'ripping paper']
['juggling balls', 'throwing ball (not baseball or American football)', 'catching or throwing baseball', 'catching or throwing softball', 'bouncing ball (not juggling)']
['bee keeping', 'spray painting', 'building shed', 'digging', 'blasting sand']
['presenting weather forecast', 'news anchoring', 'doing sudoku', 'texting', 'using remote controller (not gaming)']
['tying bow tie', 'tying knot (not on a tie)', 'tying necktie', 'braiding hair', 'making jewelry']
['air drumming', 'playing drums', 'skipping rope', 'pumping fist', 'dancing gangnam style']
['jetskiing', 'water skiing', 'snowmobiling', 'skiing mono', 'biking through snow']
['ice fishing', 'catching fish', 'snowkiting', 'alligator wrestling', 'feeding fish']
['side kick', 'high kick', 'headbutting', 'punching person (boxing)', 'drop kicking']
['laying bricks', 'plastering', 'spraying', 'spray painting', 'moving furniture']
['drumming fingers', 'clapping', 'playing drums', 'tapping guitar', 'playing cymbals']
['dancing macarena', 'country line dancing', 'zumba', 'dancing gangnam style', 'drinking shots']
['wading through mud', 'playing paintball', 'motorcycling', 'riding a bike', 'driving car']
['bartending', 'drinking shots', 'tasting beer', 'opening bottle (not wine)', 'uncorking champagne']
['giving or receiving award', 'applauding', 'hugging (not baby)', 'singing', 'celebrating']
['holding snake', 'smoking hookah', 'tying knot (not on a tie)', 'blasting sand', 'spraying']

Batch 3 predictions: ['running on treadmill', 'crying', 'parkour', 'snowmobiling', 'listening with headphones', 'ripping paper', 'air drumming', 'winking', 'hurling (sport)', 'playing accordion', 'playing monopoly', 'squat', 'trimming or shaving beard', 'rock climbing', 'swinging on something', 'trimming or shaving beard', 'contact juggling', 'laughing', 'winking', 'catching or throwing baseball', 'riding scooter', 'arranging flowers', 'playing saxophone', 'riding scooter', 'bookbinding', 'testifying', 'playing trumpet', 'washing feet', 'pushing car', 'skiing crosscountry', 'moving furniture', 'water sliding', 'slacklining', 'pushing car', 'pumping fist', 'breakdancing', 'beatboxing', 'headbutting', 'snatch weight lifting', 'situp', 'skiing slalom', 'surfing water', 'bungee jumping', 'making a cake', 'waxing', 'hopscotch', 'catching or throwing frisbee', 'riding scooter', 'finger snapping', 'snowkiting', 'eating doughnuts', 'alligator wrestling', 'curling hair', 'playing clarinet', 'planting trees', 'mopping floor', 'making tea', 'playing kickball', 'welding', 'country line dancing', 'jumping into pool', 'faceplanting', 'building shed', 'faceplanting']
Batch 3 soft predictions: ['running on treadmill', 'crying', 'parkour', 'snowmobiling', 'listening with headphones', 'ripping paper', 'air drumming', 'winking', 'hurling (sport)', 'playing accordion', 'playing monopoly', 'squat', 'trimming or shaving beard', 'rock climbing', 'swinging on something', 'trimming or shaving beard', 'contact juggling', 'laughing', 'winking', 'catching or throwing baseball', 'riding scooter', 'arranging flowers', 'playing saxophone', 'riding scooter', 'bookbinding', 'testifying', 'playing trumpet', 'washing feet', 'pushing car', 'skiing crosscountry', 'moving furniture', 'water sliding', 'slacklining', 'pushing car', 'pumping fist', 'breakdancing', 'beatboxing', 'headbutting', 'snatch weight lifting', 'situp', 'skiing slalom', 'surfing water', 'bungee jumping', 'making a cake', 'waxing', 'hopscotch', 'catching or throwing frisbee', 'riding scooter', 'finger snapping', 'snowkiting', 'eating doughnuts', 'alligator wrestling', 'curling hair', 'playing clarinet', 'planting trees', 'mopping floor', 'making tea', 'playing kickball', 'welding', 'country line dancing', 'jumping into pool', 'faceplanting', 'building shed', 'faceplanting']
Batch 3 true labels: ['running on treadmill', 'laughing', 'parkour', 'snowmobiling', 'listening with headphones', 'ripping paper', 'flipping pancake', 'singing', 'hurling (sport)', 'playing accordion', 'playing monopoly', 'squat', 'trimming or shaving beard', 'water skiing', 'swinging on something', 'trimming or shaving beard', 'contact juggling', 'laughing', 'whistling', 'catching or throwing baseball', 'riding scooter', 'arranging flowers', 'playing trumpet', 'riding scooter', 'bookbinding', 'testifying', 'playing trumpet', 'washing feet', 'pushing car', 'skiing crosscountry', 'building cabinet', 'water sliding', 'slacklining', 'pushing car', 'shouting', 'breakdancing', 'sticking tongue out', 'sharpening pencil', 'snatch weight lifting', 'situp', 'skiing crosscountry', 'surfing water', 'bungee jumping', 'making a cake', 'shaving legs', 'stretching arm', 'hurling (sport)', 'skateboarding', 'tossing coin', 'snowkiting', 'eating doughnuts', 'alligator wrestling', 'curling hair', 'playing clarinet', 'playing paintball', 'mopping floor', 'making tea', 'jaywalking', 'welding', 'country line dancing', 'swimming', 'crawling baby', 'building shed', 'drop kicking']
Batch 3 top 5 predictions:
['running on treadmill', 'doing aerobics', 'jogging', 'lunge', 'shoot dance']
['crying', 'laughing', 'winking', 'shouting', 'sneezing']
['parkour', 'hurdling', 'capoeira', 'tai chi', 'planting trees']
['snowmobiling', 'biking through snow', 'skiing mono', 'skiing crosscountry', 'tobogganing']
['listening with headphones', 'fixing hair', 'adjusting glasses', 'applying cream', 'brushing hair']
['ripping paper', 'folding paper', 'shredding paper', 'building lego', 'blowing nose']
['air drumming', 'dancing gangnam style', 'headbanging', 'pumping fist', 'headbutting']
['winking', 'singing', 'whistling', 'answering questions', 'beatboxing']
['hurling (sport)', 'headbutting', 'shooting goal (soccer)', 'applauding', 'catching or throwing frisbee']
['playing accordion', 'playing clarinet', 'playing organ', 'busking', 'playing piano']
['playing monopoly', 'doing sudoku', 'playing poker', 'hopscotch', 'counting money']
['squat', 'deadlifting', 'snatch weight lifting', 'lunge', 'bench pressing']
['trimming or shaving beard', 'eating cake', 'getting a haircut', 'applying cream', 'shaving head']
['rock climbing', 'swinging on something', 'slacklining', 'abseiling', 'diving cliff']
['swinging on something', 'parkour', 'trapezing', 'doing laundry', 'digging']
['trimming or shaving beard', 'applying cream', 'shaving head', 'shaving legs', 'washing hair']
['contact juggling', 'juggling balls', 'bouncing ball (not juggling)', 'throwing ball (not baseball or American football)', 'shuffling cards']
['laughing', 'winking', 'shaking head', 'crying', 'ripping paper']
['winking', 'eating chips', 'shouting', 'finger snapping', 'answering questions']
['catching or throwing baseball', 'catching or throwing softball', 'hitting baseball', 'throwing ball (not baseball or American football)', 'pumping fist']
['riding scooter', 'jetskiing', 'headbutting', 'motorcycling', 'pushing car']
['arranging flowers', 'setting table', 'dining', 'celebrating', 'wrapping present']
['playing saxophone', 'playing trumpet', 'playing clarinet', 'playing flute', 'playing trombone']
['riding scooter', 'motorcycling', 'riding a bike', 'jaywalking', 'directing traffic']
['bookbinding', 'folding paper', 'making jewelry', 'tying knot (not on a tie)', 'adjusting glasses']
['testifying', 'answering questions', 'auctioning', 'giving or receiving award', 'applauding']
['playing trumpet', 'playing trombone', 'playing saxophone', 'using megaphone', 'playing clarinet']
['washing feet', 'stomping grapes', 'shaving legs', 'milking goat', 'uncorking champagne']
['pushing car', 'pushing cart', 'hugging baby', 'moving furniture', 'driving car']
['skiing crosscountry', 'skiing mono', 'skiing slalom', 'snowboarding', 'ski jumping']
['moving furniture', 'building cabinet', 'building shed', 'headbutting', 'ironing']
['water sliding', 'splashing water', 'jumping into pool', 'faceplanting', 'springboard diving']
['slacklining', 'climbing', 'swinging on something', 'parkour', 'ski jumping']
['pushing car', 'pushing cart', 'moving furniture', 'hugging baby', 'driving car']
['pumping fist', 'headbanging', 'driving car', 'air drumming', 'shaking head']
['breakdancing', 'cartwheeling', 'hopscotch', 'yoga', 'capoeira']
['beatboxing', 'whistling', 'cracking neck', 'answering questions', 'tossing coin']
['headbutting', 'eating hotdog', 'smoking', 'eating cake', 'smoking hookah']
['snatch weight lifting', 'clean and jerk', 'squat', 'deadlifting', 'front raises']
['situp', 'exercising with an exercise ball', 'stretching leg', 'stretching arm', 'exercising arm']
['skiing slalom', 'skiing mono', 'ski jumping', 'snowboarding', 'skiing crosscountry']
['surfing water', 'water skiing', 'faceplanting', 'jetskiing', 'splashing water']
['bungee jumping', 'swinging on something', 'abseiling', 'trapezing', 'trimming trees']
['making a cake', 'eating cake', 'baking cookies', 'celebrating', 'tasting food']
['waxing', 'shaving legs', 'tickling', 'applying cream', 'getting a tattoo']
['hopscotch', 'tai chi', 'dancing macarena', 'pumping fist', 'swing dancing']
['catching or throwing frisbee', 'jogging', 'playing kickball', 'hurling (sport)', 'passing American football']
['riding scooter', 'pushing cart', 'motorcycling', 'driving car', 'pushing car']
['finger snapping', 'jogging', 'skipping rope', 'shoot dance', 'tap dancing']
['snowkiting', 'kitesurfing', 'paragliding', 'skydiving', 'snowboarding']
['eating doughnuts', 'eating hotdog', 'eating burger', 'tasting food', 'eating cake']
['alligator wrestling', 'petting animal (not cat)', 'catching fish', 'holding snake', 'ice fishing']
['curling hair', 'fixing hair', 'listening with headphones', 'brushing hair', 'shaving head']
['playing clarinet', 'playing saxophone', 'busking', 'recording music', 'playing drums']
['planting trees', 'throwing axe', 'disc golfing', 'dodgeball', 'hugging (not baby)']
['mopping floor', 'sweeping floor', 'sanding floor', 'cleaning', 'playing didgeridoo']
['making tea', 'blending fruit', 'cooking egg', 'cooking sausages (not on barbeque)', 'opening bottle (not wine)']
['playing kickball', 'jogging', 'throwing ball (not baseball or American football)', 'kicking soccer ball', 'jaywalking']
